date,nav_per_unit,short_name
23-06-21,28488.6,SSISCA
24-06-21,28314.33,SSISCA
25-06-21,28215.36,SSISCA
28-06-21,28283.46,SSISCA
29-06-21,28545.93,SSISCA
30-06-21,28640.97,SSISCA
01-07-21,28685.42,SSISCA
02-07-21,28832.7,SSISCA
05-07-21,29078.76,SSISCA
06-07-21,29251.19,SSISCA
07-07-21,28057.7,SSISCA
08-07-21,28780.92,SSISCA
09-07-21,28747.8,SSISCA
12-07-21,28554.62,SSISCA
13-07-21,27956.25,SSISCA
14-07-21,28070.86,SSISCA
15-07-21,27613.71,SSISCA
16-07-21,27909.15,SSISCA
19-07-21,28079.96,SSISCA
20-07-21,27191.1,SSISCA
21-07-21,27916.95,SSISCA
22-07-21,27994.25,SSISCA
23-07-21,28397.49,SSISCA
26-07-21,28025.55,SSISCA
27-07-21,28172.68,SSISCA
28-07-21,28265.51,SSISCA
29-07-21,28263.44,SSISCA
30-07-21,28650.82,SSISCA
02-08-21,28973.49,SSISCA
03-08-21,29148.13,SSISCA
04-08-21,29267.27,SSISCA
05-08-21,29318.65,SSISCA
06-08-21,29613.04,SSISCA
09-08-21,29499.57,SSISCA
10-08-21,29934.64,SSISCA
11-08-21,29940.04,SSISCA
12-08-21,29892.22,SSISCA
13-08-21,29598.98,SSISCA
16-08-21,29791.75,SSISCA
17-08-21,30124.22,SSISCA
18-08-21,30028.55,SSISCA
19-08-21,30057.77,SSISCA
20-08-21,30222.82,SSISCA
23-08-21,29431.28,SSISCA
24-08-21,28820.8,SSISCA
25-08-21,28848.17,SSISCA
26-08-21,29021.8,SSISCA
27-08-21,28962.82,SSISCA
30-08-21,29185.91,SSISCA
31-08-21,29505.19,SSISCA
01-09-21,29633.97,SSISCA
06-09-21,29630.44,SSISCA
07-09-21,30020.34,SSISCA
08-09-21,29845.62,SSISCA
09-09-21,29780.72,SSISCA
10-09-21,30155.01,SSISCA
13-09-21,30154.32,SSISCA
14-09-21,30139.59,SSISCA
15-09-21,30051.64,SSISCA
16-09-21,30203.74,SSISCA
17-09-21,30241.73,SSISCA
20-09-21,30364.24,SSISCA
21-09-21,30147.33,SSISCA
22-09-21,29911.97,SSISCA
23-09-21,30086.55,SSISCA
24-09-21,30286.01,SSISCA
27-09-21,30206.46,SSISCA
28-09-21,29746.89,SSISCA
29-09-21,29995.62,SSISCA
30-09-21,30140.44,SSISCA
01-10-21,30159.51,SSISCA
04-10-21,30031.77,SSISCA
05-10-21,30354.41,SSISCA
06-10-21,30579.6,SSISCA
07-10-21,30844.8,SSISCA
08-10-21,30793.8,SSISCA
11-10-21,30883.63,SSISCA
12-10-21,31219.55,SSISCA
13-10-21,31209.18,SSISCA
14-10-21,31233.56,SSISCA
15-10-21,31260.73,SSISCA
18-10-21,31280.03,SSISCA
19-10-21,31175.01,SSISCA
